,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,eidas,Go
29,example-package-dealer,Swift
30,example-package-deckofplayingcards,Swift
31,example-package-figlet,Swift
32,example-package-fisheryates,Swift
33,example-package-playingcard,Swift
34,FHIRModels,Swift
35,foundationdb,C++
36,fstools,C
37,game-center-tools,Python
38,GCGC,Jupyter Notebook
39,homebrew-apple,Ruby
40,HomeKitADK,C
41,learning-compressible-subspaces,Python
42,learning-subspaces,Python
43,live-caller-id-lookup-example,Swift
44,llvm-monorepo-root,
45,llvm-project-v5,C++
46,llvm-project-v5-split,C++
47,MaterialX,
48,ml-4m,Python
49,ml-acn-embed,Python
50,ml-act,Python
51,ml-ademamix,Python
52,ml-afv,Python
53,ml-agm,Python
54,ml-aim,Python
55,ml-all-pairs,Python
56,ml-ane-transformers,Python
57,ml-aspanformer,Python
58,ml-aura,Python
59,ml-autofocusformer,Python
60,ml-autofocusformer-segmentation,Python
61,ml-batchquant,Python
62,ml-behavioral-testing-for-mt,
63,ml-bilevel-train-dist,Python
64,ml-calibration,Jupyter Notebook
65,ml-capsules-inverted-attention-routing,Python
66,ml-cifar-10-faster,Python
67,ml-code-switched-speech-translation,Python
68,ml-codeswitching-translations,
69,ml-collegial-ensembles,Python
70,ml-compress-and-compare,Python
71,ml-core,Python
72,ml-covid-mobility,R
73,ml-cread,Python
74,ml-cross-entropy,Python
75,ml-cvnets,Python
76,ml-cvpr2019-swd,Python
77,ml-dab,Python
78,ml-data-parameters,Python
79,ml-delphi,
80,ml-depth-pro,Python
81,ml-destseg,Python
82,ml-diffusion-alignment-gflownet,Python
83,ml-direct2.5,Python
84,ml-divide-or-conquer,Python
85,ml-dms-dataset,Python
86,ml-dprecs,Jupyter Notebook
87,ml-dr,Python
88,ml-duet,Python
89,ml-entity-deduction-arena,Python
90,ml-entropy-reconstruction,Python
91,ml-envmapnet,Python
92,ml-equivariant-neural-rendering,Jupyter Notebook
93,ml-facelit,Python
94,ml-famae,Python
95,ml-fastvit,Python
96,ml-fct,Python
97,ml-ferret,Python
98,ml-finerecon,Python
99,ml-flair,Jupyter Notebook
100,ml-gaudi,
101,ml-gbc,Python
102,ml-gendered-translation,Ruby
103,ml-gmpi,Python
104,ml-gsm-symbolic,
105,ml-gsn,Python
106,ml-hd-gist,Python
107,ml-heart-rate-models,Python
108,ml-hierarchical-confusion-matrix,TypeScript
109,ml-hugs,Python
110,ml-hypercloning,Python
111,ml-hypersim,Python
112,ml-interactive-data-augmentation,Svelte
113,ml-interspeech2022-phi_rtn,
114,ml-jointnet,Python
115,ml-key-retrieval-code-tasks,Python
116,ml-keyframer,JavaScript
117,ml-kg-mt,Python
118,ml-kge,Python
119,ml-knowledge-conflicts,Python
120,ml-kpconvx,Python
121,ml-live-pose,
122,ml-llarp,Python
123,ml-lucid-datagen,Python
124,ml-mad-bench,Jupyter Notebook
125,ml-mcf,Python
126,ml-mdm,Python
127,ml-mgie,Python
128,ml-mia-bench,Jupyter Notebook
129,ml-MixupMP,Python
130,ml-mkqa,Python
131,ml-mobileclip,Python
132,ml-mobileone,Swift
133,ml-mofi,Python
134,ml-multiple-futures-prediction,Python
135,ml-mycelium,JavaScript
136,ml-ncg,Python
137,ml-negative-sampling,Python
138,ml-neilf,Python
139,ml-neilfpp,Python
140,ml-neuman,Python
141,ml-no-token-left-behind,Jupyter Notebook
142,ml-np-rasp,Python
143,ml-nvas3d,Python
144,ml-ogen,Python
145,ml-pgdvs,Python
146,ml-planner,Python
147,ml-pointconvformer,Python
148,ml-pointersect,Python
149,ml-probabilistic-attention,Python
150,ml-projunit,Python
151,ml-qrecc,Python
152,ml-quant,Python
153,ml-recurrent-drafter,Python
154,ml-reed,Python
155,ml-rlgrad,Python
156,ml-robust-expert-augmentations,Python
157,ml-rpm-bench,Python
158,ml-sad,Python
159,ml-sampleplan,Python
160,ml-selfcond,Python
161,ml-shuffling-amplification,Python
162,ml-sigma-reparam,Python
163,ml-sigmoid-attention,Python
164,ml-slowfast-llava,Python
165,ml-spatial-librispeech,
166,ml-speech-is-more-than-words,
167,ml-spin,Python
168,ml-stable-diffusion,Python
169,ml-stabledreamer,
170,ml-stuttering-events-dataset,Python
171,ml-superposition-prompting,Python
172,ml-symphony,Svelte
173,ml-tarflow,Python
174,ml-tic-clip,Python
175,ml-toad,Python
176,ml-tract,Python
177,ml-transcript-translation-consistency-ratings,
178,ml-translate-vis,TypeScript
179,ml-tree-dst,Python
180,ml-tune-mode-convbn,Python
181,ml-tweak,Python
182,ml-upscale,Jupyter Notebook
183,ml-uwac,Python
184,ml-veclip,Jupyter Notebook
185,ml-vfi-smiff,Python
186,ml-vfm-kt,
187,ml-vision-transformers-ane,Python
188,music-feed-examples,Java
189,openjdk,Java
190,password-manager-resources,JavaScript
191,pfl-research,Jupyter Notebook
192,pkl,Java
193,pkl-evolution,
194,pkl-go,Go
195,pkl-go-examples,Go
196,pkl-intellij,Kotlin
197,pkl-jvm-examples,Groovy
198,pkl-k8s,Pkl
199,pkl-k8s-examples,
200,pkl-lang.org,JavaScript
201,pkl-lsp,Kotlin
202,pkl-neovim,Scheme
203,pkl-package-docs,Kotlin
204,pkl-pantry,Pkl
205,pkl-project-commons,
206,pkl-spring,Java
207,pkl-swift,Swift
208,pkl-swift-examples,Swift
209,pkl-vscode,TypeScript
210,pkl.tmbundle,
211,pytorch-speech-features,Python
212,rules_pkl,Starlark
213,sample-backyard-birds,Swift
214,sample-cloudkit-coredatasync,Swift
215,sample-cloudkit-encryption,Swift
216,sample-cloudkit-privatedb,Swift
217,sample-cloudkit-privatedb-sync,Swift
218,sample-cloudkit-queries,Swift
219,sample-cloudkit-sharing,Swift
220,sample-cloudkit-sync-engine,Swift
221,sample-cloudkit-tooling,JavaScript
222,sample-cloudkit-zonesharing,Swift
223,sample-food-truck,Swift
224,security-pcc,Swift
225,servicetalk,Java
226,swift-3-api-guidelines-review,Swift
227,swift-algorithms,Swift
228,swift-argument-parser,Swift
229,swift-asn1,Swift
230,swift-async-algorithms,Swift
231,swift-async-dns-resolver,Swift
232,swift-atomics,Swift
233,swift-cassandra-client,Swift
234,swift-certificates,Swift
235,swift-clang,C++
236,swift-clang-tools-extra,C++
237,swift-cluster-membership,Swift
238,swift-cmake-examples,CMake
239,swift-collections,Swift
240,swift-collections-benchmark,Swift
241,swift-compiler-rt,C
242,swift-container-plugin,Swift
243,swift-crypto,Assembly
244,swift-distributed-actors,Swift
245,swift-distributed-tracing,Swift
246,swift-distributed-tracing-baggage-core,Swift
247,swift-distributed-tracing-extras,Swift
248,swift-embedded-examples,Swift
249,swift-evolution-staging,Swift
250,swift-for-wasm-examples,Swift
251,swift-getting-started-cli,Swift
252,swift-getting-started-package-library,Swift
253,swift-homomorphic-encryption,Swift
254,swift-homomorphic-encryption-protobuf,
255,swift-http-structured-headers,Swift
256,swift-http-types,Swift
257,swift-internals,HTML
258,swift-issues,
259,swift-libcxx,C++
260,swift-llbuild2,Swift
261,swift-lldb,C++
262,swift-llvm,LLVM
263,swift-log,Swift
264,swift-matter-examples,Swift
265,swift-metrics,Swift
266,swift-metrics-extras,Swift
267,swift-migration-guide,Markdown
268,swift-mmio,Swift
269,swift-nio,Swift
270,swift-nio-examples,Swift
271,swift-nio-extras,Swift
272,swift-nio-http2,Swift
273,swift-nio-imap,Swift
274,swift-nio-nghttp2-support,Swift
275,swift-nio-oblivious-http,Swift
276,swift-nio-ssh,Swift
277,swift-nio-ssl,C++
278,swift-nio-ssl-support,Swift
279,swift-nio-transport-services,Swift
280,swift-nio-zlib-support,Swift
281,swift-numerics,Swift
282,swift-openapi-generator,Swift
283,swift-openapi-runtime,Swift
284,swift-openapi-urlsession,Swift
285,swift-playdate-examples,Swift
286,swift-protobuf,Swift
287,swift-protobuf-plugin,
288,swift-protobuf-test-conformance,
289,swift-sample-distributed-actors-transport,Swift
290,swift-service-context,Swift
291,swift-service-discovery,Swift
292,swift-standard-library-preview,Swift
293,swift-statsd-client,Swift
294,swift-string-processing-benchmarks,Swift
295,swift-system,Swift
296,swift-tools-support-async,Swift
297,swift-xcode-playground-support,Swift
298,swiftpm-on-llbuild2,Swift
299,tensor-visualizer,Svelte
300,tensorflow_macos,Shell
301,ToolSandbox,Python
302,tree-sitter-pkl,C
303,turicreate,C++
304,unityplugins,C#
305,VideoFlashingReduction,Mathematica
306,vqg-multimodal-assistant,Python
